Title,Rank,Score,Medium,Number of Episodes,Episode Length,Start Date,End Date,Premier Season,Source Material,Age Rating,Number of Members,URLS,Synopses,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8
Color Noise,10701,4.63,ONA,1,"30 sec.
 ",Jun 2010,Jun 2010,N/A,Original,"
  G - ",529,https://myanimelist.net/anime/33312/Color_Noise,Short animation by Yutaro Kubo.,Dementia,,,,,,,
Iron Virgin Jun,10702,4.63,OVA,1,"46 min.
 ",Jul 1992,Jul 1992,N/A,Manga,"
  R - 17+",1987,https://myanimelist.net/anime/1641/Iron_Virgin_Jun,"In the Asuka family, nothing is more important than family tradition. For their lovely young daughter Jun, it means she must get married on her 18th birthday. Although poor little virgin Jun is not above kickin' butt, she just can't stand the thought of marrying someone she doesn't love. Her mother sends out a gang of bloodthirsty goons to drag her to the altar, but Jun would rather beat a hundred suitors into one big bloody mess than get married on her mother's terms, and she's about to prove it.",Action,Fantasy,Martial Arts,Comedy,Super Power,,,
JK Meshi!,10703,4.63,TV,26,3 min. per ep.,Oct 2015,Mar 2016,Fall,Original,"
  PG-13",9920,https://myanimelist.net/anime/31578/JK_Meshi,"Three high school girls have mastered the art of cooking simple, B-class dishes called JK meshi. The three girls — Reina, Ryouka, and Ruriko — are all classmates in their second year of high school. They often get distracted when studying for tests, and when they do, they cook JK meshi.",Comedy,,,,,,,
Kihei Senki Legacies,10704,4.63,ONA,1,"52 sec.
 ",Apr 2010,Apr 2010,N/A,N/A,"
  G - ",916,https://myanimelist.net/anime/8486/Kihei_Senki_Legacies,"This entry was originally meant to be a 52 episode TV series. Unfortunately, the project was canceled, leaving only a 52 second trailer. The concept of the series: The story takes place in Kisshou City, one of a few remaining oases surrounded by lifeless land devastated by a long world war. Wreckages of humanoid weapons, called ""Legacies"", are collected and reassembled by the residents of the city. One day, a gang of bandits approaches the city to seize the secrets hidden in the Legacies. The mayor decides to intercept them with a special robot Ω99, which has remained intact since the war. A teenage boy Yamato is called up for the pilot. He is just an ordinary gamer who doesn't even know about the city's crisis.",Fantasy,Mecha,,,,,,
Love Kome: We Love Rice,10705,4.63,TV,12,4 min. per ep.,Apr 2017,Jun 2017,Spring,Original,"
  PG-13",9288,https://myanimelist.net/anime/34402/Love_Kome__We_Love_Rice,"The project anthropomorphizes rice (kome in Japanese) into schoolboys. At the Kokuritsu Inaho Academy (""Rice Ear Academy,"" a wordplay on national schools), five new rice-inspired students attempt to supplant bread as the popular grain at the school. The new students form the ""Love Rice"" unit and challenge themselves to perform at the ""Harvest Show"" to show the delicious appeal of rice grains. The ""heartwarming 'kome'dy with laughs and passion"" promises to let audiences rediscover the virtues of rice (""Japan's soul food"").",Slice of Life,,,,,,,
44-hiki no Neko,10706,4.62,Music,1,"2 min.
 ",Apr 1969,Apr 1969,N/A,Music,"
  G - ",1467,https://myanimelist.net/anime/8646/44-hiki_no_Neko,"The Japanese version of the 1968 '44 Gatti,' an Italian song from the TV program Zecchino D'Oro. It was introduced in the Japanese NHK TV program 'Minna no Uta' in 1969.",Music,Kids,,,,,,
a_caFe,10707,4.62,Music,1,"41 sec.
 ",2002,2002,N/A,Original,"
  G - ",718,https://myanimelist.net/anime/22385/a_caFe,Independent animation by Hotchi Kazuhiro.,Fantasy,Music,,,,,,
Bouken Dankichi: Hyouryuu no Maki,10708,4.62,Movie,1,"1 min.
 ",1934,1934,N/A,Original,"
  G - ",798,https://myanimelist.net/anime/6849/Bouken_Dankichi__Hyouryuu_no_Maki,A boy fights with savage tribesmen and animals on a tropical island.,Adventure,,,,,,,
Kindan no Mokushiroku: Crystal Triangle,10709,4.62,OVA,1,1 hr. 26 min.,Jul 1987,Jul 1987,N/A,Original,"
  PG-13",1778,https://myanimelist.net/anime/2972/Kindan_no_Mokushiroku__Crystal_Triangle,"In times of olde, God gave mankind the ten commandments, and a message that has been lost to the centuries. In the present, Koichiro Kamishiro is a modern day Indiana Jones who scours (and often destroys) ruins for hints of the past, until one day he runs across a box filled with two crystal triangles. Having inadvertently run across the key to God's lost message, Kamishiro suddenly has a lot to deal with including assassination attempts by the KGB and the CIA, aliens hell-bent on destroying the Earth and the love of several women!",Adventure,Military,Demons,Mystery,,,,
Souryo to Majiwaru Shikiyoku no Yoru ni...,10710,4.62,TV,12,3 min. per ep.,Apr 2017,Jun 2017,Spring,Manga,"
  R+ - ",35255,https://myanimelist.net/anime/34823/Souryo_to_Majiwaru_Shikiyoku_no_Yoru_ni,"At a high school reunion, Mio Fukatani reunites with a classmate she has not seen in years—Takahide Kujou. She had always wanted to know more about the kind-hearted boy in high school, but once she realizes that Kujou has become a monk, she believes that any chance of getting to know him romantically is slim. Deciding to drink away her sorrows, she ends up walking home drunk, and surprisingly, running into Kujou who helps her get home. However, once inside, Kujou's lust for Mio becomes apparent and the two share an erotic night of passion. As this steamy romance blossoms between these two unlikely lovers, Mio and Kujou will undoubtedly spend many nights together in utter ecstasy.",Drama,Ecchi,Romance,,,,,
Samero,10711,4.61,Movie,1,"3 min.
 ",1992,1992,N/A,Original,"
  R+ - ",737,https://myanimelist.net/anime/9318/Samero,"Short film from animator Tsuji Naoyuki, who is known for his use of both charcoal and puppet animation. Wake Up is a dark and brooding animation epitomizing his story telling style by combining serene worlds and childlike images with darkness and nightmarish scenes.",Dementia,,,,,,,
Urda,10712,4.61,ONA,5,6 min. per ep.,Jan 2002,Jan 2003,N/A,N/A,"
  PG-13",3348,https://myanimelist.net/anime/1102/Urda,"This fictional story took place in Europe around 1943. At that time Nazi secretly plotted a plan called Urda. Two agents, Janet and Erna received a task to investigate and prevent the completion of the secret plan.",Action,Historical,Military,Sci-Fi,,,,
Konnichiwa Onara Gorou,10713,4.61,ONA,1,"2 min.
 ",Mar 2016,Mar 2016,N/A,Original,"
  PG - ",975,https://myanimelist.net/anime/33276/Konnichiwa_Onara_Gorou,"Serves as an ""episode 0"" to the July 2016 television series. It introduces the characters and concept of the show.",Comedy,,,,,,,
Osaru no Kantai,10714,4.60,Movie,1,"1 min.
 ",1936,1936,N/A,Original,"
  G - ",939,https://myanimelist.net/anime/4396/Osaru_no_Kantai,Very short movie from 1936 about a war between monkeys and Octopuses.,Military,Music,,,,,,
Wheels,10715,4.60,OVA,1,"3 min.
 ",2000,2000,N/A,Original,"
  G - ",557,https://myanimelist.net/anime/13421/Wheels,Directed and animated by Hotchi Kazuhiro.,Comedy,,,,,,,
Urashima Tarou (1931),10716,4.59,Movie,1,"1 min.
 ",1931,1931,N/A,Other,"
  G - ",1622,https://myanimelist.net/anime/5813/Urashima_Tarou_1931,Urashima Taro is based on a well-known Japanese folk tale about an honest fisherman who is invited to an underwater castle after saving a sea turtle on a beach from bullies.,Action,,,,,,,
Wakie Wakie,10717,4.59,Music,1,"1 min.
 ",Jan 2015,Jan 2015,N/A,N/A,"
  G - ",427,https://myanimelist.net/anime/30092/Wakie_Wakie,Music video by Studio Binzo.,Music,,,,,,,
2,10718,4.59,Music,1,"4 min.
 ",Oct 2017,Oct 2017,N/A,Original,"
  G - ",343,https://myanimelist.net/anime/38756/2,"A music video for the song ""2"" by DALLJUB STEP CLUB.",Music,,,,,,,
A Smart Experiment,10719,4.59,Special,1,"3 min.
 ",2006,2006,N/A,Original,"
  G - ",507,https://myanimelist.net/anime/30214/A_Smart_Experiment,"Bonus short included on the ""Atsushi Wada Works 2002-2010"" DVD.",Dementia,,,,,,,
Ai Sky Tree 21,10720,4.59,ONA,1,"15 sec.
 ",Aug 2012,Aug 2012,N/A,Original,"
  G - ",554,https://myanimelist.net/anime/32295/Ai_Sky_Tree_21,Short anime by Rapparu mixing animation with still real life pictures.,Action,,,,,,,
Dragon Fist,10721,4.59,OVA,1,"39 min.
 ",Mar 1991,Mar 1991,N/A,Manga,"
  PG-13",1079,https://myanimelist.net/anime/21179/Dragon_Fist,"The story follows Ling Fei-long, a Chinese transfer student living in Japan. Ling is the son of the leader of the White Dragon clan, one of four clans who live in the mountains of China and are descended from mythical beasts. After killing an ordinary human, Ling is banished to Japan so that he might learn about humanity and how to control his powers around them.",Drama,Martial Arts,Fantasy,Shoujo,,,,
Nantokashite Alguard,10722,4.59,ONA,1,"1 min.
 ",Jan 2012,Jan 2012,N/A,Original,"
  G - ",389,https://myanimelist.net/anime/13543/Nantokashite_Alguard,"Opening animation featuring the Alguard Sisters, used in Rohto Pharmaceutical's campain against pollinosis.",Music,Super Power,,,,,,
Bara Bara Film,10723,4.58,Movie,1,"4 min.
 ",2011,2011,N/A,Original,"
  G - ",338,https://myanimelist.net/anime/30480/Bara_Bara_Film,Furukawa Taku film.,Dementia,,,,,,,
Comics,10724,4.58,Movie,1,"3 min.
 ",1979,1979,N/A,Original,"
  G - ",517,https://myanimelist.net/anime/30332/Comics,Furukawa Taku film.,Dementia,,,,,,,
